date,complaint,username,nlikes,issue_type,company
9/14/2020 19:37,Lyft/Uber -  Neighborhood Complaint -- Commerical Vehicles Parked Illegally in the Manchester Farm Residential Parking Areas.  Our On-Site Office has been advised.  19044 Highstream Drive are the Commerical Drivers for Uber & Lyft.,Char12311,0,Driver,uber
7/16/2020 16:40,Follow these tips on how to save (or splurge) during your remodel. #DiscoverPersonalLoans #ad  https://www.bhg.com/featured/GuideModernizingKitchenDiscoverPersonalLoans2020?sm_r=IoOmCR … pic.twitter.com/ULg5RSKULv,BHG,163,Driver,uber
9/14/2020 17:49,R you closing the swiggy platform  to zomato  like uber eat so why u r treating you customers in such a way . U r replying without reading customers complaint and irritating the customers.I request u to pl. read my tweet complaint and resolve it accordingly.,UllahObeid,0,Driver,uber
9/14/2020 17:34,I have still dispute that I am being in -charged $14.25 for the service that I never get on. The customer service uber insisted that I had ride on it. I want my complaint  to take the next level.,BlancAndrews,0,Driver,uber
9/14/2020 17:25,"@boltapp hi Bolt, can someone please come back to me regarding the complaint I had on my first Bolt ride and worst trip I’ve ever taken in London asap please? Next time I’ll take @Uber",BethanRosee,1,Driver,uber
9/14/2020 17:16,@UberUKsupport @ubereats_uk @uber - unreal how bad your customer service is. How many tweets and DMs does it take for you to respond to our complaint and set it right? A simple mistake has been turned into a saga because of your faceless processes.,SameerPattni,0,Driver,uber
9/14/2020 15:22,@Uber_Support any reason in particular you acknowledge my @uber_eats complaint publicly claiming you have sorted my issue and messaged me when you have not and then dont respond to my DMs?,lord_sebasius,0,Driver,uber
9/14/2020 13:35,"The offer is over, you’ll get charged full price and they won’t do anything about it afterwards. Here’s their response to my complaint. Embarrassing behaviour from Uber.  pic.twitter.com/byJkO7Cp6h",ben48975346,0,Driver,uber
9/14/2020 12:13,"Thanks for letting us know, looping in @nyc311 to take the complaint.",nyctaxi,1,Driver,uber
9/14/2020 11:25,"@Uber made a complaint about not being able to book the cabs, after writing constantly for around two months, the problem was finally resolved after I twitted about it, thought that you guys atleast responded to twitter, but only few days down the lane, a",Aekta14,1,Driver,uber
9/14/2020 8:50,"This is the 100th complaint am seeing on twitter,bolt has always had a problem..uber atleast is a bit safer but i think bolt isn't vet there drivers and doing background checks like Uber",hi_its_real,0,Driver,uber
9/14/2020 8:33,#Uber can I send you a DM please so you can help me with a complaint. Thank you,BeccaLJ80,0,Driver,uber
9/14/2020 8:06,"Uber News from  http://RideshareArizona.com 
La Crosse charged in Uber stabbing case
According to the criminal complaint, an ...
 https://ridesharearizona.com/la-crosse-charged-i …...
 https://ridesharearizona.com/la-crosse-charged-in-uber-stabbing-case/?feed_id=24893&_unique_id=5f5f249abaa95 …",RideshareAZ,0,Driver,uber
9/14/2020 6:34,"Uber is tweeting this to every complaint for public damage control but they won't message you back, i've been waiting for a reply since Thursday 🧐",holiatherton,1,Driver,uber
9/14/2020 5:15,Uber Support account followed. Requesting to file a complaint please.,abuzeez,0,Driver,uber
9/14/2020 1:44,My only boujee complaint about Greensboro is that they don’t have the Uber Black Option😭,honestari,5,Driver,uber
9/13/2020 23:18,@Uber_Support My 73 year old mother has been unsuccessfully trying to cancel an Uber Eats Pass subscription that she isn't sure how she opted-into since April 19. We called 800-253-9377 to no a avail. Please provide contact info. for submitting a formal c,PromotionsPro,0,Driver,uber
9/13/2020 21:11,"If this is still not sorted out, post your complaint here so we can amplify it further:  http://app.shieldvoc.com/file-a-complaint/uber/1305138208058077191 …",ShieldVoC,1,Driver,uber
9/13/2020 21:10,"If this is still not sorted out, post your complaint here so we can amplify it further:  http://app.shieldvoc.com/file-a-complaint/uber/1305143771076669440 …",ShieldVoC,1,Driver,uber
9/13/2020 21:10,"If this is still not sorted out, post your complaint here so we can amplify it further:  http://app.shieldvoc.com/file-a-complaint/uber/1305159726188187657 …",ShieldVoC,0,Driver,uber
9/13/2020 19:15,Filing a complaint against uber eats for not letting me order some mimosas,SirWestonLaw,21,Driver,uber
9/13/2020 17:53,I was riding Uber the other day and had a bad experience with my driver. I have sent a complaint via app 09/08 but until now no one has responded to me. All I’m asking is not to be paired with that driver again. @Uber_Support,SGamirez,0,Driver,uber
9/11/2020 10:01,"96% Overwhelmingly Positive Reviews!
Grab a friend and get in on the co-op FPS action!",JoinDeepRock,514,Driver,uber
9/13/2020 14:30,I already placed the complaint on the app,Kedi_iyolaB,0,Driver,uber
9/13/2020 14:10,"@Uber I got an email saying a driver reported me for not wearing a mask. Please look into this, I'd like to file a complaint!
I have worn a mask EVERY ride!  Why would they let me ride without a mask?!!? Do I need to start taking photos?!!? Very offended",malikthomas,0,Driver,uber
9/13/2020 12:58,"Hi, we appreciate the valuable feedback. Kindly note we are looking at the prospect of number masking for the next phase of the YouCabApp. If you would like to make a complaint with regard to Travel Partner, kindly provide Trip ID so that we can look into this matter right away.",YouCabLK,1,Driver,uber
9/13/2020 11:42,"Schrodinger’s cabs - they are both completely exempt from all laws yet 100% compliant at the same time, depending on whether it’s one of their own, another delivery driver (both exempt) or a ph/Uber driver or cyclist doing it.",PlasticPlanners,3,Driver,uber
9/13/2020 9:24,@UberUKsupport Hi - have just sent you a DM complaint about being charged for an Uber Eats order that didn’t arrive. Please can you check and get back to me,Gregstweet,0,Driver,uber
9/13/2020 8:53,"@Uber hello Uber team, it's really very strange and unethical behaviour of Uber ride drivers.driver is asking money more than price showing in Uber application   and when I told it's wrong and will complaint and he said I can complaint anywhere......",RNegi1984,0,Driver,uber
9/13/2020 7:14,"It’s interesting that @Uber say no mask no ride, but my driver didn’t wear his mask for my whole journey. You can’t even make a complaint about on the rating either #Uber #WearAMask #hypocrite pic.twitter.com/H9dLzcxXkr",sherriethebest,0,Driver,uber
9/13/2020 6:30,"Sir, please call to complaint on helpline 9010203626 or 04027852482.",HYDTP,3,Driver,uber
9/13/2020 5:27,@Uber_Support  worst service ever. It's been more than 2 weeks I have booked a complaint.  But ni action taken,KavyashriO,0,Driver,uber
9/13/2020 5:20,"I hope she put a complaint in on this guy if he's an Uber or whatever,  I bet it wasn't the first time he's done this and wouldn't be the last time.",WallyWalrus3,1,Driver,uber
9/13/2020 2:29,"Dude. Get alittle more butt hurt for getting called out on acting pretty silly and absurd about having other people risking their health to get you a McDouble and you complaint about it. I was a fan, but I’m good on following whinney children.",XB_iSony,0,Driver,uber
9/13/2020 1:58,"Hi @Da5vi ! You look upset, but we're a little confused by the reason. Talk to us at the DM and better explain the reason for your complaint, right ?! We will be waiting for your contact.",Uber_Support,0,Driver,uber
9/13/2020 1:32,the complaint i sent uber about him was one of my most passionate essays ever🧚‍♀️,watrmelonsukkar,1,Driver,uber
9/13/2020 1:08,"Uber Eats is scandalous. Their quotes for deliveries claims an amount that ""includes expected top"". Rarely does a tip, combined with the delivery fee, amount to the amount posted on our app. In fact, they are also bad on ensuring that every trip being paid. ""File a complaint"".",CoyoteWells,0,Driver,uber
9/13/2020 0:38,Do Uber eats and leave that scam ass company #doordash alone. Filed a complaint automatic message says wait 7 days and still didn’t get my food.,JayCoy_OhBoy,0,Driver,uber
9/13/2020 0:13,@Uber_Support hey I made an order yesterday and the food arrived out in the bag and inedible. I made a complaint through the help button but haven't had any response can you help please,Eddddy96,0,Driver,uber
9/13/2020 0:08,I’d file a complaint with Uber.,MoePody,5,Driver,uber
9/12/2020 23:37,"@Uber shocking reply tonight in relation to a genuinely overcharged fare. Have used the service all-over the world and have recommended,but not again. A very dismissive and generic reply to to a complaint. Very disappointed.",cal_parkes,0,Driver,uber
9/12/2020 22:11,"I would have done the exact same thing, and called Uber to voice a complaint!",JanetMamajo4,4,Driver,uber
9/12/2020 21:23,My Uber eats glitched it keep giving me $10 off coupons 🤣. I’m not complaint tho,_jaytm,3,Driver,uber
9/3/2020 18:26,"Lenovo Legion x @PlayApex
Now is your chance to rise above the rest. 
Unmatched performance, purposeful engineering, modern design.
Gear up with a machine as savage as you are.
Stylish outside.
Savage inside.",LenovoLegion,298,Driver,uber
9/12/2020 20:38,"Oh sure, in *aggregate* but I stand by my long-running complaint that the biggest obstacle to self-driving cars is not the tech, it's the liability laws.

But not really relevant to Uber, where, as Manu argues, the main source of their margins is *skirting* liability and taxes.",BuffyBlogs,1,Driver,uber
9/12/2020 20:13,"I wouldn’t be scared, I would be upset. Also I would record and send a complaint to the Uber app and also at the police station because without evidence what can she do ?",Ivorian_pride,15,Driver,uber
9/12/2020 20:07,@Uber_Support  sooooo I posted got a bs ass answer and I can't even reply to your fucking customer service. I am going to be filing compliant on every possible media outlet you have until you return my moneys .. that you Fraudulently took from my account ,Virtuoso_Inc,1,Driver,uber
9/12/2020 18:29,"@UberEats
Uber Eats you have effectively stolen £6.61 by not delivering my order. Your app does not resolve my complaint or offer me a refund because your delivery partner lied. 
This is a small amount but we work hard.... Please contact me to sort thi",BandLoddon,1,Driver,uber
9/12/2020 18:00,"If you get that “come thru” text... let’s not take an Uber. @SultanReina
reminds us that among other things, despite the performative billboard, Uber refuses to pay all of their drivers a living wage, provide them benefits or ensure they’re ADA compliant  https://wearyourvoicemag.com/uber-and-the-nfls-corporate-platitudes-will-not-end-racism/ …",WearYourVoice,13,Driver,uber
9/12/2020 17:54,Hi @UberUKsupport @Uber_Support I am very disappointed with how my recent complaint was dealt with. I made an order on 8.9.20 using ubereats which was never delivered to me but said delivered on the app and i was charged for it. I complained but wasnt taken seriously. Please help,Sexytleaf,1,Driver,uber
9/12/2020 15:21,"This country is fucked!

Technically all they can do is to fire them unless there is a machine that can scan the mind.

Affected parties can take legal action. But at whst cost? On complaint firing them is the best solution IMO.",ZiyanJunaideen,2,Driver,uber
