Username,Complaint,Date,Company,Issue_type
@curatedbymike,"  your husband is the general counsel of uber and is actively working to prevent drivers from becoming employees versus gig workers. let’s talk about that twitter.com/mayaharris_/st…
",14-10-2020,uber,driver
@TheSolape,"  My Uber driver today told me how he wanted to join the protest because SARS killed his younger brother, 3 days after he turned 18 in 2006. 

They didn’t just start brutalizing and killing people; they didn’t just start hurting the loved ones of these people! 

#SARSMUSTEND
",14-10-2020,uber,driver
@Reuters,"  California appeals court hears arguments in Uber, Lyft gig worker lawsuit reut.rs/3j55cPT pic.twitter.com/GPXA9gxjYz
",14-10-2020,uber,driver
@CandieModiselle,"  What a painful way to go about life. In an Uber from the airport, sent my trip status to 2 friends, then proceeded to have a “fake call with my dad telling him where I am and how long I’ll be”. (Bearing in mind, my dad passed in ‘97). To be a woman in SA, an extreme sport.
",14-10-2020,uber,driver
@adweak,"  BREAKING: Miami Ad School Revises Curriculum To Just Train Students To Be Uber Drivers, Baristas pic.twitter.com/x8jxBXHEd0
",14-10-2020,uber,driver
@brogadishu,"  Just call an uber or something dude calm down. jesus christ pic.twitter.com/PY2UB50FsF
",14-10-2020,uber,driver
@Cricrifi,"  Ford asking Uber Eats to take a cut while he forces restaurants to close indoor dining and asking Ontarians who have lost their jobs to order takeout once a week. #onpoli
",14-10-2020,uber,driver
@trentylocks,"  I’m a 4.92 star uber passenger how about you
",14-10-2020,uber,driver
@NickVez,"  After a 13 hour shift I’m sitting in the @JackBox parking lot enjoying my two tacos and 10 nuggets and I get this message from @UberEats Eats.

Hey Uber Eats...shut up. pic.twitter.com/Oz1ANGDorY
",14-10-2020,uber,driver
@localurchin,"  i’ve never paid for a man’s uber. maybe i’m a piece of shit or maybe i’m just rlly hot pic.twitter.com/cE1085g7HH
",14-10-2020,uber,driver
@bigblackjacobin,"  I dug a little bit deeper into those fake progressive mailers sent out this past week supporting Prop 22. 

Turns out the consultants behind these mailers have been doing this for years and are well-known in California's Democratic Party machine.

vice.com/en/article/jgx…
",14-10-2020,uber,driver
@themindoftrav_,"  In honor of it being a year since #RollingLoudNY we dead bodied a white henny in the Uber on the way there 🥴 pic.twitter.com/ZVP6N0NBQI
",14-10-2020,uber,driver
@devin97753009,"  Dave must cut out on expensive things and put away some money. Cutting the cord on Dish can save you hundreds.Instead of taking an uber you can ride a bike Stop spending on breakfast, bring a pack lunch or, make dinner at home. pic.twitter.com/iXGTr2aYi5
",14-10-2020,uber,driver
@DiamondHope_,"  On Uber >>>> pic.twitter.com/zPJxWKG00t
",14-10-2020,uber,driver
@PaigeBarnowski,"  My mom likes to check my bank statement when I don’t respond to her and saw that I ordered Uber’s and used Venmo which are out of San Diego and New York so sorry mom but that’s what you get😂🤷‍♀️ pic.twitter.com/GAIjwTluwZ
",14-10-2020,uber,driver
